Added Component: Designator=C1(CHIP 1206)
Added Component: Designator=C2(ELKO SMD-C 6.3x6.3)
Added Component: Designator=C3(CHIP 0603)
Added Component: Designator=C4(CHIP 0603)
Added Component: Designator=C5(CHIP 1206)
Added Component: Designator=C6(CHIP 0603)
Added Component: Designator=C7(CHIP 0603)
Added Component: Designator=C8(CHIP 0603)
Added Component: Designator=C9(CHIP 0603)
Added Component: Designator=C10(C_RAD_flex)
Added Component: Designator=C11(C_RAD_flex)
Added Component: Designator=D1(SOT-363 (SC-70))
Added Component: Designator=D2(SOT-23)
Added Component: Designator=L1(WE_74458308)
Added Component: Designator=L2(CHIP 0805)
Added Component: Designator=R1(CHIP 0603)
Added Component: Designator=R2(CHIP 0603)
Added Component: Designator=R3(CHIP 0603)
Added Component: Designator=S1(MK16-C-2)
Added Component: Designator=T1(SOT-223)
Added Component: Designator=TP1(TP SMD)
Added Component: Designator=TP2(TP SMD)
Added Component: Designator=TP3(TP SMD)
Added Component: Designator=TP4(TP SMD)
Added Component: Designator=TP5(TP SMD)
Added Component: Designator=TP6(TP SMD)
Added Component: Designator=TP7(TP SMD)
Added Component: Designator=TP8(TP SMD)
Added Component: Designator=TP9(TP SMD)
Added Component: Designator=TP10(TP SMD)
Added Component: Designator=TP11(TP SMD)
Added Component: Designator=TP12(TP SMD)
Added Component: Designator=TP13(TP SMD)
Added Component: Designator=TP14(TP SMD)
Added Component: Designator=TP15(TP SMD)
Added Component: Designator=TP16(TP SMD)
Added Component: Designator=TP17(TP SMD)
Added Component: Designator=TP18(TP SMD)
Added Component: Designator=TP19(TP SMD)
Added Component: Designator=TP20(TP SMD)
Added Component: Designator=TP21(TP SMD)
Added Component: Designator=TP22(TP SMD)
Added Component: Designator=U1(QFN-24)
Added Component: Designator=X1(HEADER SMD 2x10 0.635mm)
Added Pin To Net: NetName=VCC Pin=C1-1
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=VCC Pin=C2-1
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=NetC3_2 Pin=C3-2
Added Pin To Net: NetName=VREG Pin=C4-1
Added Pin To Net: NetName=GND Pin=C4-2
Added Pin To Net: NetName=VCC_LTS Pin=C5-1
Added Pin To Net: NetName=GND Pin=C5-2
Added Pin To Net: NetName=VSUP Pin=C6-1
Added Pin To Net: NetName=GND Pin=C6-2
Added Pin To Net: NetName=VAUX_VCC2 Pin=C7-1
Added Pin To Net: NetName=GND Pin=C7-2
Added Pin To Net: NetName=VAUX_VCC1 Pin=C8-1
Added Pin To Net: NetName=GND Pin=C8-2
Added Pin To Net: NetName=VAUX_VCC0 Pin=C9-1
Added Pin To Net: NetName=GND Pin=C9-2
Added Pin To Net: NetName=VCC_LTS Pin=C10-1
Added Pin To Net: NetName=VCC_LTS Pin=C10-1
Added Pin To Net: NetName=VCC_LTS Pin=C10-1
Added Pin To Net: NetName=VCC_LTS Pin=C10-1
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=VCC_STS Pin=C11-1
Added Pin To Net: NetName=VCC_STS Pin=C11-1
Added Pin To Net: NetName=VCC_STS Pin=C11-1
Added Pin To Net: NetName=VCC_STS Pin=C11-1
Added Pin To Net: NetName=GND Pin=C11-2
Added Pin To Net: NetName=GND Pin=C11-2
Added Pin To Net: NetName=GND Pin=C11-2
Added Pin To Net: NetName=GND Pin=C11-2
Added Pin To Net: NetName=GND Pin=D1-1
Added Pin To Net: NetName=NetD1_2 Pin=D1-2
Added Pin To Net: NetName=NetD1_3 Pin=D1-3
Added Pin To Net: NetName=NetD1_3 Pin=D1-4
Added Pin To Net: NetName=NetD1_5 Pin=D1-5
Added Pin To Net: NetName=GND Pin=D1-6
Added Pin To Net: NetName=NetC3_2 Pin=D2-1
Added Pin To Net: NetName=GND Pin=D2-2
Added Pin To Net: NetName=NetD1_5 Pin=L1-1
Added Pin To Net: NetName=NetD1_2 Pin=L1-2
Added Pin To Net: NetName=NetL2_1 Pin=L2-1
Added Pin To Net: NetName=VCC Pin=L2-2
Added Pin To Net: NetName=NetC3_2 Pin=R1-1
Added Pin To Net: NetName=NetD1_3 Pin=R1-2
Added Pin To Net: NetName=WAKE_UP Pin=R2-1
Added Pin To Net: NetName=GND Pin=R2-2
Added Pin To Net: NetName=REED_SWITCH Pin=R3-1
Added Pin To Net: NetName=NetR3_2 Pin=R3-2
Added Pin To Net: NetName=NetR3_2 Pin=S1-1
Added Pin To Net: NetName=VSUP Pin=S1-2
Added Pin To Net: NetName=NetC3_2 Pin=T1-1
Added Pin To Net: NetName=VCC Pin=T1-2
Added Pin To Net: NetName=NetD1_3 Pin=T1-3
Added Pin To Net: NetName=NetD1_2 Pin=TP1-1
Added Pin To Net: NetName=NetD1_3 Pin=TP2-1
Added Pin To Net: NetName=NetC3_2 Pin=TP3-1
Added Pin To Net: NetName=VCC Pin=TP4-1
Added Pin To Net: NetName=NetL2_1 Pin=TP5-1
Added Pin To Net: NetName=NetD1_5 Pin=TP6-1
Added Pin To Net: NetName=GND Pin=TP7-1
Added Pin To Net: NetName=VSUP Pin=TP8-1
Added Pin To Net: NetName=EM_CS Pin=TP9-1
Added Pin To Net: NetName=WAKE_UP Pin=TP10-1
Added Pin To Net: NetName=HRV_LOW Pin=TP11-1
Added Pin To Net: NetName=MCU_MOSI Pin=TP12-1
Added Pin To Net: NetName=BAT_LOW Pin=TP13-1
Added Pin To Net: NetName=MCU_MISO Pin=TP14-1
Added Pin To Net: NetName=VREG Pin=TP15-1
